"Country Name","Country Code","Indicator Name","Indicator Code",Attribute,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,
"Papua New Guinea","853","Gross Government Debt","GGXWDG","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3303539481.43783","3377123670.22696","3828911946.12795","4635616275.07006","5320515140.36059","5496148916.59838","6144774610.41782","7387954164.57848","8353482494.0119","7979783884.73","7593191490.39","7253151714.15466","6697594574.21466","6330358840.21466","6856591197.21467","7017542215.53634","6761729952.33466","7006838075.04466","8565531471.89466","11765760357.2447","14827301684.1747","15808907375.0132","16167806460.3255","16706474234.4385","16670336430.8705","16332752617.7222","15529173474.4819",
"Paraguay","288","Gross Government Debt","GGXWDG","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"306200000","301100000","340100000","321900000","312200000","348300000","361800000","371400000","717000000",,"1928000000","2240000000","3340000000","4247000000","5211000000","5712000000","67000000","217500000","78700000","84700000","99900000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"47494000000",,,,,,,"0","4041072499260.97","4571588464828.16","3692903850531.58","3361836234404.47","2802265912291.2","3123292414402.1","3380434041081.83","3898582419051.2","5589626319944","8392066707939.56","9903438505700.47","13447068604097.2","21472079346808.6","19088469968661.5","16541625000000","15114931200000","12874625400000","12595171875000","14651456435000","14434945641110","14816318497511.3","13668800981098.2","17602970667208.8","20962517921124","26335863815556.4","32983671464430.6","38283609104963.4","43433234510990.5","49026070143903.4","54626959046258","60512160214977.1",
"Peru","293","Gross Government Debt","GGXWDG","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"87400000","81700000","86500000","92200000","103700000","118400000","134200000","136800000","159900000","280300000","312700000","315000000","380800000","523500000","551600000","617000000","682500000","690400000","706700000","723700000","778300000","833100000","905500000","995800000","1104100000","1232400000","1465900000","1596000000",,"1771100000","1678200000","1689500000","1601200000",,,"3405100000","3468100000","4940900000","5171000000","5908800000","7626500000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"78977730643","78464629412.4604","86262032055.8791","100534998223.805","105483223046.25","98739218583.3333","100038778885.017","101885761214.683","99466115589.7483","103615731791.294","106615515530.172","108183864783.106","107703729764.095","111017000000","119303000000","135075840431.533","155064336096.486","168318380630.78","178352836680.37","186398450605.518","199599350959.649",
"Philippines","566","Gross Government Debt","GGXWDG","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"569100000",,,,,,"1091300000",,,,,"2200600000","2321300000","2525600000","2719000000","2814000000","3044900000","3528600000","3906300000","4470900000","5029500000","5805800000","7122400000","7421000000","8321000000","10601700000","14786800000","17472000000","20335100000","26074400000","27837000000","37020000000","41103000000","53219000000","71890000000",,,,,,,,"584424599634.695","654508096884.618","851016322628.789","1242869980000","1229223120000","1324428550000","1316936390000","1577788600000","1507630330000","1738342391000","2104533965000","2287813997000","2655695405000","3094331980000","3369454000000","3359459000000","3234788000000","3076887000000","3410112000000","3559039000000","3913071000000","4020388000000","4288804000000","4529800000000","4602500000000","4853521775314.04","5038157525184.11","5246268307250.47","5472504737124.95","5722526868730.59","5997654657391.38",
"Poland","964","Gross Government Debt","GGXWDG","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8857100000","69262700000","251229300000","743353300000","111508630000000","1767500000","1953900000","2804000000","3557900000","4168000000","4162300000","4079200000","4427500000","5041400000",,"4691600000","4806100000","5007800000","4729900000","1933500000","5317800000",,,,,,,"29192000000","29380000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53169998168.9453","65839996337.8906","99599998474.1211","138300003051.758","152237396240.234","165200000000","183294000000","221220000000","233687000000","263392000000","273832000000","292818000000","340896000000","396731000000","422386000000","463019000000","506036000000","529370000000","600845000000","684447000000","770451000000","851429000000","878415000000","926116000000","866502000000","914411733479.048","960094518842.115","1011376310050.85","1059548644820.92","1101686670283.76","1146170457606.53",
"Portugal","182","Gross Government Debt","GGXWDG","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"414411.268842091","451127.782045271","378063.866082741","460325.615267206","457168.224578765","465398.389880388","532122.584571183","529648.547001726","558189.762671961","619960.89424487","676379.924382239","703614.289562155","740106.343711655","848495.126744546","912012.050957193","918551.291387756","964555.421434343","1125702.05804012","1225940.48343492","1302740.39564649","1538043.31560938","1533284.78367135","1534277.39148652","1710597.46012111","1752985.30541395","1810671.28220987","1897831.22674355","2014280.58379306","2023513.33286779","2099036.32246286","2080989.81454694","2158532.93562514","2212542.77191967","2199983.0408715","2436927.00591574","2463004.15997446","2506140.20211291","2561147.63420157","2622579.58320448","2689583.10471763","2906929.30038607","2927878.81206293","3118669.00769146","2992807.33432428","2987225.78585609","3040711.8843587","3344504.743568","3315828.85246556","3065716.62293872","3314661.66538642","3464774.89250905","3408495.52578286","2960525.13442603","3042682.13605212","3221556.04991969","3235377.73964745","3134416.0573019","3128709.80935944","3133862.39163616","3340374.69698028","3274423.63902994","3296605.18151255","3279466.4857693","3233876.35797728","3711056.35418641","4020311.05036861","4404385.43111102","4958051.09685658","5806007.52187229","7746331.34146707","14265619.8561467","19961891.840664","34731297.5728494","40143254.7560379","41904011.3326882","44393012.8390579","46712423.0604244","47749922.686326","47620235.2330883","47046617.65146","47799802.4760328","49216388.5037061","36881116.5092128","36262607.1168484","35953352.4206662","35843616.8833112","36102991.7897866","35913448.5889007","35684001.5562494","31878173.6016201","32995480.8910526","41115910.6553207","43694695.7831626","46936882.114105","49301184.1462076","52059536.516994","51361219.4610988","51027024.8700632","51166688.2812422","52393731.1080296","54957552.2989595","55531169.8805878","55466326.1539689","58119930.966371","58289522.2513742","58444149.5994653","58528945.2419669","73772208.976367","76465717.6205345","80675571.871789","87549006.8933869","107361259.364931","123357707.923903","141040093.374966","152482517.133708","161675362.376672","165361478.836005","166119651.639549","174484492.37338","192825291.048573","213101425.56439","231936034.15768","256762321.2","302123260.8","496494522.6","759969262.2","1070349271.2","1472477399.3","2099431752.6","2405691261.6","3659049212.7","4839179911.2","6715890674.5","9054078125.4","12877575586","15837485461.2","17863542630.1","21171424161.6","24371663471.1","31831172542.5839","38744344519.2689","39592195612.397","40789969064.1918","46690620602.4937","51962000000","54259000000","54964000000","55489000000","58657000000","61568673155.7202","68671748609.7235","75456151590.734","79913967121.335","85794164270.4453","96468762872.6153","102440454662.516","120088484127.196","128191361885.163","146691272849.388","173062452676.101","195689551454.73","211784336844.195","219644614552.53","225286798693.01","226867592901.132","228329456358.339","230020508935.756","233016810672.221","236954497187.337","241477865645.232",
"Qatar","453","Gross Government Debt","GGXWDG","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2871600000","4421200000","4626500000","9777400000","11855444000","12537304000","16338324000","19748524000","23654824000","33562174000","33966924000","37721189600","33544960000","33483741600","33538828400","31074566000","29764132000","25903342000","46555812800","128056362000","190568562000","219847000000","253256000000","239559680000","236959680000","209259680000","199259680000","186959680000","159659680000","141023510000","126883510000",
"Romania","968","Gross Government Debt","GGXWDG","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1731000000",,"1718400000",,,,"11148400000","20311300000","18649100000",,,,,,,"96031200000","108297500000","111765700000",,"98301300000",,"106413800000","113681200000","113073600000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7096710800","10318281700","16529565000","23904800000","32176000000","41696000000","47749400000","52190100000","50966300000","43501600000","52916500000","70200300000","119194600000","163022400000","191422800000","224039600000","247499100000","270338200000","285850729334.67","303806638800.883","327339648760.132","352280462504.68","378465841081.995","406434601885.686",
"Russia","922","Gross Government Debt","GGXWDG","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4774000000000","4373080000000","4258304000000","4360633520000","4009892500000","3799833430000","3438500000000","2827500000000","2861500000000","3293200000000","4124000000000","5254200000000","6515000000000","7871300000000","9285800000000","12723245312937.4","15224881264013.1","16961682712006.4","19174127002411","21165235755437.3","22329562679612.4","23609317970598.8",
"Rwanda","714","Gross Government Debt","GGXWDG","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"388291034224.719","407564433430","468232296119.931","503583674583.942","564241819819.063","693084630333.085","731825432359.843","860452514656.31","998738698828.865","1095358816030.67","1017519279951.56","456066529579.004","551281441508.758","548099535602.158","674786051224.657","749327570604.173","886933084017.374","893422845347.989","1341403353735.57","1627352418230.06","1953634556832.22","2330876576611.55","2860479754520.08","3300304730048.24","3608206463050.57","3980418193106.21",
